track_fid,track_seg_,track_se_1,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,gpxtpx_Tra,Lat,Long
0,0,153,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238379,-91.17823005
0,0,154,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238413,-91.17823021
0,0,155,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238455,-91.17823038
0,0,156,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238522,-91.17823072
0,0,157,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238581,-91.17823105
0,0,158,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238631,-91.17823139
0,0,159,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.4023874,-91.17823214
0,0,160,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238799,-91.17823265
0,0,161,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238857,-91.17823298
0,0,162,14.08,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238916,-91.17823315
0,0,163,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238958,-91.17823348
0,0,164,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239,-91.17823348
0,0,165,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239,-91.17823348
0,0,166,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239008,-91.17823332
0,0,167,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239017,-91.17823298
0,0,168,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239067,-91.17823239
0,0,169,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.402391,-91.17823189
0,0,170,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239142,-91.17823072
0,0,171,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239142,-91.17822946
0,0,172,14.56,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239134,-91.17822921
0,0,173,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239134,-91.17822921
0,0,174,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239117,-91.17822938
0,0,175,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239109,-91.17822963
0,0,176,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.402391,-91.17822963
0,0,177,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239109,-91.17822971
0,0,178,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239117,-91.17822971
0,0,179,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239092,-91.17822938
0,0,180,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239075,-91.17822913
0,0,181,15.04,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239042,-91.17822887
0,0,182,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40239,-91.17822862
0,0,183,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238941,-91.17822854
0,0,184,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238908,-91.17822837
0,0,185,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238866,-91.17822845
0,0,186,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238849,-91.17822862
0,0,187,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238874,-91.17822871
0,0,188,15.52,9/9/2020 1:09,,,,,,,,,,,,,,,,,,,,,,0,30.40238882,-91.17822896
0,0,189,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40238924,-91.17822896
0,0,190,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239,-91.17822913
0,0,191,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239092,-91.17822904
0,0,192,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239176,-91.17822904
0,0,193,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239268,-91.17822913
0,0,194,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.4023936,-91.17822913
0,0,195,15.52,9/9/2020 1:10,,,,,,,,,,,,,,,,,,,,,,0,30.40239436,-91.17822929
